Score,Do you know about Internet (Cyber) Crime?,Cyber Crime (Internet Crime) is ,Cyber Crime also leads to,What do you think about the most probable reason of cyber attack?,How many hours you use Smartphone in a day?,Your Age Group,Studying or Working or Not Working,Have you attended any seminar or webinar or workshop on Cyber Crime and Security Awareness?,Are you aware about Cyber Crime Safety Precautions tips?,Do you know where to file an Internet (Cyber) Crime Complaint?,Have you ever been victim of Cyber Crime?,Any type of Cyber Crime happened with you?,Did you loose any money?,Did you file complaint?,Why did you not file the complaint?,Where did you file the complaint?,Was your complaint resolved?,What is the status of Complaint,What mistakes made by the person as shown in the poster?,What is the Learning from Pencil Packaging Job Scam,What wrong Mohan did?,Does ever Bank call you for such detail ?,How will you define social media cloning?,What is the learning from this story,"You receive a friend request on Facebook on the name of your school  female friend and a beautiful smart profile picture, what will you do?","In the above video, what mistake the person did? ",What happens in Honey Trapped Video Call?,What safety precautions people should take to prevent honey trapped?,What mistake Harshita Did?,"You have decided to sell your old laptop on OLX. You add the item on OLX and soon one buyer shown an interest to buy your laptop and he also confirms the deal. He ask you to click on the link to receive the payment, what will you do? ","You are travelling on a holiday trip and suddenly you come to know that a fraudulent transaction happened in your account, what will you do? ","In the above video, what mistake he did","There is a power cut at home and suddenly you receive a call that says your power has been cut due to non payment of electricity bill and he ask to click on the link and pay the bill, what will you do?","You have received an audio message with some documents and voice notes that you have won the 35 Lakhs Rs of lottery from Kaun Banega Crorepati (KBC), what will you do?",How to take precautions when you receive such kind of lottery emails or disease treatment help or WhatsApp message?,"You receive a message on WhatsApp that a new startup company is offering you a new launched mobile phone at huge discount, Limited Stock, buy it before it stock out, what will you do?",What necessary precautions we should take while shopping online?,"Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Learning]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Usefulness ]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Presentation of Training Questions (Clear & Organized)]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Relevance of Information Provided in the Cyber Training]",Has this cyber training program helped you to enhance your knowledge on Cyber Crime Awareness and Safety Precautions?,How likely will you recommend this cyber training program in your family and friends circle? [Family],How likely will you recommend this cyber training program in your family and friends circle? [Friends],How likely will you recommend this cyber training program in your family and friends circle? [Others],Would you like to participate in the Workshop/Webinar/Seminar on Cyber Crime Awareness?,Would you like to participate in the Cyber Champion Ambassador Program of College/City/State/National Level to create awareness on Cyber Crime and Safety Precautions?,Any valuable suggestion or feedback to improve this training module on Cyber Crime Awareness,Gender,State,How did you come to know about this Cyber Training Program?,"You are getting multiple calls of a person who is abusing or harassing you over the phone, what will you do?","You come to know that someone posted your personal photos on social media and then you receive a call from unknown person (True Caller is displaying the name Criminal Lawyer Advocate), and he says that a complain has been registered against you and you have been asked to pay 5000 Rs to settle down the case, what will you do?",Have you enabled the two factor authentication on your Gmail or other email account?,"Have you enabled the two factor authentication for your Social Media (Facebook/Instagram/Twitter/Linkdein/
WhatsApp/SnapChat) account?",Which of the following option indicates the strong password,"If you are studying or working, write down the name of school or college or university or workplace",How many hours you use Laptop or Computer in a day ?,When do you spend your maximum time on Smartphone?,Your Internet data is always (24*7 even during sleep) ON  or SWITCH ON only when it is required ? ,"If Cyber Crime happened with you, when did it happen?","Have you ever attended ""Online Training on Cyber Crime Awareness"" organized by CollCom before?",Did you loose any money?.1
80,Yes,All of the above,All of the above,Using Internet all the time,4-6 Hours in a day,16-21 Years,UG,No,I don't have any knowledge,No,No,Not happened any crime,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Excellent,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Maybe,Yes,No,Female,Madhya Pradesh,WhatsApp Group,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,Bhagt shing college ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
76,Yes,All of the above,Defamation of an individual on social media,All of the above,2 -4 Hours in a day,16-21 Years,UG,No,I have little knowledge,No,No,Social Media Account Hacked,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,1. Pay the Job Processing fee when asked from Recruiter,c. Clicked on the Link,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Excellent,Very Good,Yes,Very Likely,Somewhat Likely,Not Likely,Yes,Yes,,Female,Madhya Pradesh,College/School Notification,All of the Above,,No,No,#Sohan@27!,Bhagat Singh govt. College,I do not have/use Laptop or Desktop Computer,In the Night before Sleep,I switch ON internet only when it is required,During Watching Something,Yes,
68,Yes,All of the above,All of the above,Using Internet all the time,Not more than 2 hours in day,16-21 Years,School (10 or 11 or 12th Standard),Yes,I have little knowledge,Yes,Yes,Not happened any crime,I did not loose any money,"Yes, I filed the complaint.",,Cyber Police Station,Yes,It was resolved and criminal was arrested and deducted money was also returned,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Option A and B,Both B and C,Both B and C,He did everything right,All of the above,All of the above,D. Only A and B,B. You will refuse to click on the link,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,Prefer Online shopping from authentic and reliable website only,Excellent,Excellent,Very Good,Excellent,Yes,Somewhat Likely,Very Likely,Very Likely,Yes,Yes,Khushi rathore ,Female,Madhya Pradesh,WhatsApp Group,All of the Above,Will ignore the call,No,Yes,12345#,Ratlam ,Not more than 2 hours in day,Just after Wakeup in the morning,I switch ON internet only when it is required,During Watching Something,Yes,
100,Yes,All of the above,All of the above,Human Negligence,Not more than 2 hours in day,16-21 Years,PG,No,I have little knowledge,No,No,Kaun Banega Crorepati (KBC) Fraud,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",Fear of filing complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Somewhat Likely,Somewhat Likely,Maybe,No,To avoid and ignore frauds,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,No,#Sohan@27!,Bhagat Singh PG clg,Not more than 2 hours in day,In Afternoon,I switch ON internet only when it is required,"Not Applicable, In the Evening",No,
92,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,PG,Yes,I have good knowledge,No,No,Kaun Banega Crorepati (KBC) Fraud,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",Fear of filing complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Somewhat Likely,Somewhat Likely,Maybe,No,To avoid and ignore frod ,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Bhagat singh pg college,Not more than 2 hours in day,In Afternoon,I switch ON internet only when it is required,Not Applicable,No,
96,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,PG,Yes,I have good knowledge,No,No,"Kaun Banega Crorepati (KBC) Fraud, ",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",Fear of filing complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Somewhat Likely,Somewhat Likely,Maybe,No,Iske khilaf ldo ,Female,Madhya Pradesh,Google,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Bhagat singh pg collage,More than 12 hours,In Afternoon,I switch ON internet only when it is required,Not Applicable,No,
36,Yes,"Software piracy, Fake bank call",All of the above,All of the above,2 -4 Hours in a day,16-21 Years,UG,Yes,I have good knowledge,No,Yes,Fake Govt Scheme Fraud,I did not loose any money,"Yes, I filed the complaint.",,Dialed 100,Yes,It is still pending (Under Investigation),All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Duplicate the person’s social media profile,A. Always set the profile picture and friend list public,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,Don’t recieve video call from unknown number,D. Only A and B,C. You will ask buyer to send Cash,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will click on the link and make the payment,"Wow! that's a good news, you will celebrate and distribute sweets to everyone",Checked the source of the call or email and will verify the authenticity,A. Will immediately buy the Smart Phone,"Nothing Comes Free, Act Wisely when there is a Huge Discounts Available, must Cross Verify all conditions",Excellent,Excellent,Very Good,Poor,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Yes,Everything,Female,Madhya Pradesh,College/School Notification,Block the person,Will ignore the call,No,Yes,#Sohan@27!,College,I do not have/use Laptop or Desktop Computer,In Afternoon,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",In the Morning,Yes,
8,Yes,Stealing personal information,Physical or sexual abuse,Using Internet all the time,2 -4 Hours in a day,16-21 Years,PG,Yes,I have little knowledge,No,No,Online Romance Fraud,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,He was doing exactly the same that was told by the accused.,1. Pay the Job Processing fee when asked from Recruiter,a. He verified the caller,I do not know,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",He did everything right,Innocent users are fooled into taking part in explicit video chats,Don’t accept friend requests from unknown while looking only smart picture,B. She did not verify the authenticity of buyer,A. You will click on link and then payment will be received.,A. You will immediately call your bank and inform about fraudulent transaction,A. He clicked on the link and made payment,You will click on the link and make the payment,"Wow! that's a good news, you will celebrate and distribute sweets to everyone",Checked the source of the call or email and will verify the authenticity,B. Also encourage my friends and family to buy it,,Excellent,Excellent,Excellent,Very Good,No,Not Likely,Somewhat Likely,Very Likely,No,No,Yes,Male,Madhya Pradesh,Youtube,Block the person,Will pay the amount,No,Yes,#Sohan@27!,Bhagat singh college jaora,2 -4 Hours in a day,In Evening,I switch ON internet only when it is required,Not Applicable,No,
88,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,22-29 Years,UG,Yes,I have little knowledge,No,No,Kaun Banega Crorepati (KBC) Fraud,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will simply follow the instructions of caller,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,All of the Above!,Very Good,Excellent,Very Good,Excellent,Maybe,Very Likely,Very Likely,Very Likely,Maybe,Maybe,Excellent ,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Kalidas govt girls collage,2 -4 Hours in a day,In Afternoon,I switch ON internet only when it is required,In the Morning,Yes,
76,No,All of the above,Defamation of an individual on social media,All of the above,Not more than 2 hours in day,22-29 Years,Studying (Competitive Exam Preparation),No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,3. Always apply for the Job only from the Authetic Website of the Company,both b and c,No,Option A and B,Both B and C,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",He did everything right,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Very Good,Excellent,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Thanks for me your advice the best of life times yusefull me.,Female,Madhya Pradesh,WhatsApp Group,All of the Above,Will ignore the call,No,Yes,#Sohan@27!,College ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
84,No,All of the above,Defamation of an individual on social media,All of the above,Not more than 2 hours in day,16-21 Years,Studying (Competitive Exam Preparation),No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Very Good,Excellent,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Female,Madhya Pradesh,WhatsApp Group,All of the Above,Will ignore the call,No,Yes,#Sohan@27!,College ,I do not have/use Laptop or Desktop Computer,Just after Wakeup in the morning,I switch ON internet only when it is required,Not Applicable,No,
84,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,Not Working (Others),No,I have little knowledge,No,No,"Fraud Call, Lottery Fraud, Part Time Job/Work From Home Fraud",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Poor,Poor,Very Good,Very Good,Maybe,Somewhat Likely,Not Likely,Not Likely,Yes,No,Very good ,Male,Madhya Pradesh,Google,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,Sohan1992,Govt.mahavidhyalaya Khachrod ,I do not have/use Laptop or Desktop Computer,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
64,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,16-21 Years,UG,Yes,I have little knowledge,Yes,No,"Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Know Your Customer (KYC) Fraud, Bill Payment Fraud, Job Offer Fraud, Part Time Job/Work From Home Fraud, Social Media Account Hacked, WhatsApp Account Hacked, Gmail Account Hacked, Fake Govt Scheme Fraud, Fake Loan Offer Fraud, Cyber Bullying, Abusing or Harrasment on Social Media, Cyber Stalking",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,b. Shared the card details,I do not know,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,B. will call and verify whether the Girl is Authentic or Fraud,He did everything right,All of the above,All of the above,D. Only A and B,D. B & C both,A. You will immediately call your bank and inform about fraudulent transaction,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Excellent,Poor,Very Good,Excellent,Maybe,Very Likely,Somewhat Likely,Somewhat Likely,No,Maybe,Strong password bnane Chahiye,Male,Madhya Pradesh,College/School Notification,All of the Above,Will follow the instructions of Criminal Layer Advocate,No,No,#Sohan@27!,Bhagat Shingh p.g. college jaora,8-10 hours in a day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,During Attending Party or any kind of Functions,Yes,
72,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,Studying (Competitive Exam Preparation),Yes,I have good knowledge,No,No,Lottery Fraud,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,b. Shared the card details,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will simply follow the instructions of caller,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Not Likely,Not Likely,Not Likely,Yes,Yes,Forget pop message ,Female,Madhya Pradesh,College/School Notification,All of the Above,Will ignore the call,No,No,08-01-1992,Ujjain ,I do not have/use Laptop or Desktop Computer,In the Night before Sleep,I switch ON internet only when it is required,"In the Morning, In the Afternoon at Home, In the Evening, In the Night",Yes,
88,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,UG,No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Yes,,Female,Madhya Pradesh,College/School Notification,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Govt.arts and science pg college ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
56,Yes,Stealing personal information,All of the above,Using Internet all the time,Not more than 2 hours in day,16-21 Years,School (10 or 11 or 12th Standard),Yes,I have good knowledge,Yes,Yes,Social Media Account Hacked,I did not loose any money,"Yes, I filed the complaint.",,Cyber Police Station,Yes,Complaint was closed without any investigation,He was doing exactly the same that was told by the accused.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,"A. In the profile picture, Girl is very beautiful, will accept the friend request directly",He did everything right,All of the above,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Excellent,Poor,Very Good,Very Good,No,Very Likely,Very Likely,Very Likely,No,Maybe,,Male,Bihar,Instagram,All of the Above,Will pay the amount,Yes,Yes,12345#,Cambridge public school ,I do not have/use Laptop or Desktop Computer,In the Night before Sleep,I switch ON internet only when it is required,In the Evening,Yes,
96,Yes,All of the above,All of the above,Human Negligence,8-10 hours in a day,16-21 Years,UG,No,I have good knowledge,Yes,No,"Fraud Call, ",less than 5000,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,nothing,Male,Bihar,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Mahatma Gandhi Central University,4-6 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",During Reading,No,
68,Yes,All of the above,All of the above,All of the above,8-10 hours in a day,16-21 Years,UG,Yes,I have little knowledge,Yes,No,"Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Know Your Customer (KYC) Fraud, Bill Payment Fraud, OLX Fraud, Job Offer Fraud, Part Time Job/Work From Home Fraud, WhatsApp Account Hacked, Gmail Account Hacked, Online Customer Helpline Fruad, ",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,He did everything right,All of the above,All of the above,C. She did everything right,D. B & C both,D. A & B both,C. Both A and B,You will simply follow the instructions of caller,You will call back to the person and share the banking details to claim the Lottery amount,All of the above,Both A & B,All of the Above!,Very Good,Excellent,Poor,Very Good,Yes,Very Likely,Somewhat Likely,Very Likely,No,Yes,Yes,Male,Madhya Pradesh,Youtube,All of the Above,Will ignore the call,No,No,#Sohan@27!,Bhagat singh pg college,2 -4 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,During Attending Party or any kind of Functions,No,
88,Yes,All of the above,All of the above,All of the above,4-6 Hours in a day,22-29 Years,Studying (Competitive Exam Preparation),Yes,I have good knowledge,Yes,No,"Social Media Account Hacked, Not happened any crime",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,,Female,Delhi/NCR,Any Other Source,All of the Above,Will ignore the call,Yes,Yes,#Sohan@27!,Institute of management accounting ,4-6 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,Yes,
100,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,22-29 Years,PG,No,I have little knowledge,Yes,Yes,Social Media Account Cloned (Fake Account Created of Existing User),More than 100000,"Yes, I filed the complaint.",,Cyber Police Station,No,Complaint was closed without any investigation,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Yes,,Female,Madhya Pradesh,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Not working ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",During Watching Something,No,
76,Yes,"Software piracy, Fake bank call",All of the above,All of the above,2 -4 Hours in a day,22-29 Years,Working (Govt.),No,I have little knowledge,Yes,No,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,b. Shared the card details,No,Option A and B,B. Make your profile picture and others information visible to your friends only,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,C. You will ask buyer to send Cash,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,Thanks very very useful information ,Male,Madhya Pradesh,Any Other Source,All of the Above,Will ignore the call,Yes,Yes,#Sohan@27!,Working,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
96,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,30-36 Years,Working (Self Business),Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Maybe,Very Likely,Very Likely,Very Likely,No,Maybe,,Male,Gujarat,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Vadodara ,6-8 hours in a day,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
52,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,Studying (Competitive Exam Preparation),No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,c. Clicked on the Link,Yes,Duplicate the person’s social media profile,Both B and C,Both B and C,Both a and b,The user receives a video call from an unknown number and a girl naked video was recorded with the user,All of the above,C. She did everything right,B. You will refuse to click on the link,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will call back to the person and share the banking details to claim the Lottery amount,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Poor,Poor,Poor,Yes,Somewhat Likely,Somewhat Likely,Not Likely,No,Yes,,Female,Madhya Pradesh,College/School Notification,All of the Above,Will follow the instructions of Criminal Layer Advocate,No,Yes,#Sohan@27!,Bhagat Singh govt. P.G. college joara ,Not more than 2 hours in day,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
